Item;Descrição
17011;TECHNOCELL DEKOR MPK6656 68g/m2 2175mm  type0
15434;DEKORPRINT BEIGE 751 68G/M2 1870MM  TYPE0399 (FSC MC)
17024;TECHNOCELL DEKOR MPK6656 68g/m2 1870mm  0399
17050;TECHNOCELL DEKOR MPK6656 68G/M2 1270MM  0399 (FSC MC)
19531;MALTADECOR 0301 BEIGE 65G/M2 2120MM (FSC MC)
19508;MALTADECOR 0301 BEIGE 65G/M2 1870MM  (FSC MC)
19536;MALTADECOR 0301 BEIGE 65G/M2 1270MM  (FSC MC)
15432;DEKORPRINT BEIGE 752 68G/M2 1870MM  TYPE2638 (FSC MC)
17057;TECHNOCELL BEIGE MPK5532 (2638) 70G/M2 1870MM (FSC MC)
15442;DEKORPRINT BEIGE 752 68G/M2 1270MM  TYPE2638 (FSC MC)
19507;MALTADECOR 0244 BEIGE 65G/M2 1870MM  (FSC MC)
19528;MALTADECOR 0244 BEIGE 65G/M2 1270MM  (FSC MC)
15441;DEKORPRINT BEIGE 756 68G/M2 2120MM  TYPE8269 (FSC MC)
17027;TECHNOCELL DEKOR MPK6552 68G/M2 2120MM TYPE8 (FSC MC)
14143;KOEHLER BEIGE 8269 68G/M2 2120MM (FSC MC)
14108;KOEHLER 8269 ECO 68G/M2 1870MM  (FSC MC)
15440;DEKORPRINT BEIGE 756 68G/M2 1870MM  TYPE8269 (FSC MC)
17012;TECHNOCELL DEKOR MPK6552 68G/M2 1870MM (FSC CW) TYPE8269 ECO
15444;DEKORPRINT BEIGE 756 68G/M2 1270MM  (FSC MC)
14134;KOEHLER 8269 ECO 68G/M2 1270MM  (FSC MC)
17051;TECHNOCELL DEKOR MPK6552F 71G/M2 1870MM  EIR (FSC MC)
14127;KOEHLER 8292 ECO 70G/M² 1870MM  LOP (FSC MC)
17425;MUNKSJÖ 1410 ECO BROWN 68G/M2 1860MM (FSC MC)
17424;MUNKSJÖ 1410 ECO BROWN 68G/M2 1270MM  (FSC MC)
19509;MALTADECOR 0408 BROWN 65G/M2 1870MM  (FSC MC)
17423;MUNKSJÖ 1430 ECO BROWN 68G/M2 2175MM (FSC CW)
17418;MUNKSJÖ 1430 ECO BROWN 68G/M2 1870MM (FSC MISTO 70%)
17059;TECHNOCELL MPK6287 (2795) 65G/M2 1870MM (FSC MC)
19519;MALTADECOR 0248 GREY 65g/M2 1870MM (FSC MISTO 70%)
18433;SUNSHINE GRAY 0248 65G/M2 1870MM (FSC MC
19527;MALTADECOR 0248 GREY 65G/M2 1270MM (FSC MISTO 70%)
18009;HOFFSÜMMER 0483 HELLGRAU 68G/M2 2175MM (FSC CW)
18863;HUAWON GRAY HG5083 (0483) 68G/M2 2175MM (FSC MC)
18855;HUAWON GRAY 0483 68G/M2 1870MM (FSC MC)
18020;HOFFSÜMMER 0483 HELLGRAU 68G/M2 1270MM (FSC MC)
18861;HUAWON GRAY HG5089 (689) 68G/M2 2175MM (FSC MC)
18856;HUAWON GRAY 0689 68G/M2 1870MM (FSC MC)
14139;KOEHLER 689 GRAY 68G/M2 1870MM (FSC MC)
18860;HUAWON GRAY HG5089 (689) 68G/M2 1270MM (FSC MC)
14141;KOEHLER GRAY 689 68G/M2 1270MM (FSC MC)
18423;SUNSHINE 0128 ECO 65G/M2 2175MM  (FSC MC)
19505;MALTADECOR 0128 WHITE 65G/M2 1870MM (FSC MC)
18413;SUNSHINE 0128 ECO 65G/M2 1870MM  (FSC MC)
18435;SUNSHINE WHITE 0128K 65G/M2 1870MM (FSC MC)
19535;MALTADECOR 0128 WHITE 65G/M2 1270MM  (FSC MC)
18429;SUNSHINE 0128 ECO 65G/M2 1270MM  (FSC MC)
16065;DEKORPRINT WHITE 990 70G/M2 2175MM (FSC MC)
18416;SUNSHINE 0104 ECO 70G/M2 2175MM (FSC MC)
19517;MALTADECOR 0104 WHITE 70G/M2 1870MM (FSC MC)
18402;SUNSHINE 0104 ECO 70G/M2 1870MM (FSC MC)
16064;DEKORPRINT WHITE 990 70G/M2 1870MM (FSC MC)
16066;DEKORPRINT WHITE 990 70G/M2 1270MM (FSC MC)
18409;SUNSHINE 0104 ECO 70G/M2 1270MM (FSC MC)
19533;MALTADECOR 0104 WHITE 70G/M2 1270MM  (FSC MC)
18407;SUNSHINE 0104 ECO 80G/M2 2175MM  (FSC MC)
18405;SUNSHINE 0104 ECO 80G/M2 1270MM (FSC MC)
14113;KOEHLER 8291 ECO 72G/M² 1870MM  LOP (FSC MC)
10249;MUNKSJO 9370-070 PN MFOIL WHITE 70G/M² 1900MM (FSC MC)
10252;MUNKSJO 9370-070 PO MFOIL WHITE 70G/M2 1900MM
10255;MUNKSJO 9370-070 PO MFOIL WHITE 70G/M² 1880MM (FSC MC)
10256;MUNKSJO 9370-070 PO NEW WHITE 70G/M² 1880MM (FSC MC)
10860;MVP FFOIL BRANCO SUPER OPACIDADE 40 G/M2 1900MM (FSC MC)
10801;MVP FINISH FOIL BRANCO 40 G/M² 1900MM  (FSC MC)
10251;TENTOK OPAC 40 G/M2 1900MM
10805;MVP FINISH FOIL PARDO 40 G/M² 1900MM  (FSC MC)
10862;MVP FINISH FOIL PARDO 40 G/M² 1905MM  (FSC MC)
10223;TENTOK CHPS PARDO 40G/M2 1900MM (FSC MC)
10831;MVP FINISH FOIL TABACO 40 G/M² 1900MM  (FSC MC)
10843;MVP FINISH FOIL PRETO FINISH FOIL 40 G/M² 1900MM (FSC MC)
11205;TECHNOCELL MPK3222 80G/M2 1830MM BLACK INTENSO  (FSC MC)
10957;CARTIERE BLACK U1137 REF3222 80G/M2 1840MM  (FSC MC)
16031;BACKING 60G/M2 2080MM  (FSC MC)
16056;DEKORPEL WHITE 963 78G/M2 1860MM  (FSC MC)
16068;DEKORPEL WHITE 963 78G/M2 1855MM  (FSC M
19521;MALTADECOR 0104 WHITE 78G/M2 1860MM  (FSC MC)
19542;MALTADECOR 0104 WHITE 78G/M2 1550MM  (FSC MC)
18403;SUNSHINE 0104 ECO 80G/M2 1860MM (FSC MC)
18415;SUNSHINE 0104 ECO 80G/M2 1855MM (FSC MC)
19534;MALTADECOR 0104 WHITE 78G/M2 1855MM  (FSC MC)
18434;SUNSHINE WHITE YG0086PW 70G/M2 1870MM (F
18412;SUNSHINE YG002PW 80G/M2 1865MM  (FSC MC)
18408;SUNSHINE 0104 ECO 70G/M2 2160MM  (FSC MC)
16004;DEKORPEL BEIGE 9080 80G/M2 1855MM  (FSC MC)
16009;DEKORPEL BLUE 497 80G/M2 1855MM  (FSC MC)
16001;DEKORPEL GREY 9300 80G/M2 1855MM  (FSC MC)
10945;CARTIERE ARGILA REF932 80G/M2 1855MM  (FSC MC)
16005;DEKORPEL GRAY 932 80G/M2 1855MM  (FSC MC)
16010;DEKORPEL GREY 664 80G/M2 1855MM (FSC MISTO 70%)
